State,Pending Cases,year
California,72149,2012
New York,44682,2012
Texas,35939,2012
Illinois,16996,2012
Florida,13705,2012
Arizona,12895,2012
New Jersey,10890,2012
Virginia,9152,2012
Massachusetts,8650,2012
Georgia,8575,2012
Colorado,7373,2012
Tennessee,5707,2012
Washington,5306,2012
Nebraska,5285,2012
Maryland,4755,2012
Pennsylvania,4488,2012
North Carolina,4216,2012
Ohio,4069,2012
Louisiana,3777,2012
Missouri,3497,2012
Nevada,3107,2012
Minnesota,2846,2012
Oregon,2657,2012
Michigan,2500,2012
Connecticut,1220,2012
Utah,1131,2012
Puerto Rico,345,2012
Hawaii,125,2012
Guam,79,2012
Oklahoma,*,2012
Rhode Island,*,2012
Alabama,*,2012
South Carolina,*,2012
Alaska,*,2012
South Dakota,*,2012
Arkansas,*,2012
US Virgin Islands,*,2012
Delaware,*,2012
Vermont,*,2012
District of Columbia,*,2012
West Virginia,*,2012
Idaho,*,2012
Wisconsin,*,2012
Indiana,*,2012
Wyoming,*,2012
Iowa,*,2012
Kansas,*,2012
Maine,*,2012
Mississippi,*,2012
Montana,*,2012
New Hampshire,*,2012
North Dakota,*,2012
