State,Pending Cases,year
California,39045,2004
Florida,27592,2004
New York,17425,2004
Texas,16580,2004
Massachusetts,5528,2004
Illinois,3828,2004
Pennsylvania,3751,2004
Arizona,3328,2004
Maryland,3255,2004
Ohio,3121,2004
New Jersey,2871,2004
Michigan,2723,2004
Georgia,2625,2004
Colorado,2391,2004
Virginia,2352,2004
Nebraska,1907,2004
Missouri,1713,2004
Minnesota,1232,2004
Tennessee,1154,2004
Washington,1067,2004
Connecticut,768,2004
Nevada,593,2004
Utah,489,2004
Puerto Rico,461,2004
Louisiana,358,2004
Oregon,257,2004
Guam,69,2004
Hawaii,44,2004
Rhode Island,*,2004
Alabama,*,2004
South Carolina,*,2004
Alaska,*,2004
South Dakota,*,2004
Arkansas,*,2004
US Virgin Islands,*,2004
Delaware,*,2004
Vermont,*,2004
District of Columbia,*,2004
West Virginia,*,2004
Idaho,*,2004
Wisconsin,*,2004
Indiana,*,2004
Wyoming,*,2004
Iowa,*,2004
Kansas,*,2004
Maine,*,2004
Mississippi,*,2004
Montana,*,2004
New Hampshire,*,2004
North Dakota,*,2004
Oklahoma,*,2004
