State,Pending Cases,year
California,54014,2002
Florida,24141,2002
New York,21832,2002
Texas,10902,2002
Massachusetts,4245,2002
Illinois,3373,2002
Michigan,3350,2002
New Jersey,3129,2002
Pennsylvania,2553,2002
Virginia,2321,2002
Arizona,1777,2002
Maryland,1686,2002
Colorado,1675,2002
Georgia,1649,2002
Nebraska,1256,2002
Ohio,1161,2002
Washington,1082,2002
Tennessee,1060,2002
Minnesota,1048,2002
Connecticut,763,2002
Missouri,721,2002
Nevada,631,2002
Louisiana,291,2002
Puerto Rico,278,2002
Oregon,261,2002
Utah,93,2002
Guam,62,2002
Hawaii,51,2002
Kansas,*,2002
Maine,*,2002
Mississippi,*,2002
Montana,*,2002
New Hampshire,*,2002
North Dakota,*,2002
Oklahoma,*,2002
Rhode Island,*,2002
Alabama,*,2002
South Carolina,*,2002
Alaska,*,2002
South Dakota,*,2002
Arkansas,*,2002
US Virgin Islands,*,2002
Delaware,*,2002
Vermont,*,2002
District of Columbia,*,2002
West Virginia,*,2002
Idaho,*,2002
Wisconsin,*,2002
Indiana,*,2002
Wyoming,*,2002
Iowa,*,2002
