State,Pending Cases,year
California,44589,2007
New York,23195,2007
Florida,22909,2007
Texas,8184,2007
Massachusetts,7078,2007
Virginia,5341,2007
Maryland,4406,2007
Illinois,4045,2007
Georgia,4037,2007
New Jersey,3500,2007
Ohio,3397,2007
Colorado,3047,2007
Michigan,2622,2007
Pennsylvania,2569,2007
Arizona,2545,2007
Nebraska,2300,2007
Washington,2291,2007
Missouri,1876,2007
Tennessee,1423,2007
Minnesota,1352,2007
Connecticut,1073,2007
Nevada,934,2007
Puerto Rico,921,2007
Utah,846,2007
Oregon,832,2007
Louisiana,533,2007
Hawaii,312,2007
Guam,21,2007
North Carolina,3,2007
Montana,*,2007
New Hampshire,*,2007
North Dakota,*,2007
Oklahoma,*,2007
Rhode Island,*,2007
Alabama,*,2007
South Carolina,*,2007
Alaska,*,2007
South Dakota,*,2007
Arkansas,*,2007
US Virgin Islands,*,2007
Delaware,*,2007
Vermont,*,2007
District of Columbia,*,2007
West Virginia,*,2007
Idaho,*,2007
Wisconsin,*,2007
Indiana,*,2007
Wyoming,*,2007
Iowa,*,2007
Kansas,*,2007
Maine,*,2007
Mississippi,*,2007
