State,Pending Cases,year
California,53147,2009
New York,33843,2009
Florida,16195,2009
Texas,14717,2009
Massachusetts,7479,2009
Illinois,6958,2009
Virginia,6949,2009
New Jersey,6072,2009
Georgia,5803,2009
Arizona,5570,2009
Colorado,5180,2009
Maryland,4813,2009
Pennsylvania,3763,2009
North Carolina,3377,2009
Washington,3197,2009
Missouri,3192,2009
Tennessee,3176,2009
Nebraska,3096,2009
Ohio,3062,2009
Michigan,2173,2009
Minnesota,2043,2009
Oregon,1569,2009
Puerto Rico,1229,2009
Connecticut,1122,2009
Louisiana,1056,2009
Nevada,1004,2009
Utah,932,2009
Hawaii,532,2009
Guam,84,2009
Delaware,*,2009
Vermont,*,2009
District of Columbia,*,2009
West Virginia,*,2009
Idaho,*,2009
Wisconsin,*,2009
Indiana,*,2009
Wyoming,*,2009
Iowa,*,2009
Kansas,*,2009
Maine,*,2009
Mississippi,*,2009
Montana,*,2009
New Hampshire,*,2009
North Dakota,*,2009
Oklahoma,*,2009
Rhode Island,*,2009
Alabama,*,2009
South Carolina,*,2009
Alaska,*,2009
South Dakota,*,2009
Arkansas,*,2009
US Virgin Islands,*,2009
