State,Pending Cases,year
California,34596,2006
Florida,31149,2006
New York,20045,2006
Texas,9627,2006
Massachusetts,7306,2006
Virginia,4716,2006
Georgia,4388,2006
Ohio,3752,2006
Illinois,3752,2006
Maryland,3586,2006
New Jersey,3484,2006
Michigan,2812,2006
Pennsylvania,2674,2006
Colorado,2452,2006
Arizona,2330,2006
Nebraska,2132,2006
Washington,2120,2006
Missouri,1861,2006
Puerto Rico,1299,2006
Louisiana,1020,2006
Tennessee,992,2006
Connecticut,978,2006
Minnesota,943,2006
Utah,840,2006
Nevada,765,2006
Oregon,689,2006
Hawaii,106,2006
Guam,18,2006
Rhode Island,*,2006
Alabama,*,2006
South Carolina,*,2006
Alaska,*,2006
South Dakota,*,2006
Arkansas,*,2006
US Virgin Islands,*,2006
Delaware,*,2006
Vermont,*,2006
District of Columbia,*,2006
West Virginia,*,2006
Idaho,*,2006
Wisconsin,*,2006
Indiana,*,2006
Wyoming,*,2006
Iowa,*,2006
Kansas,*,2006
Maine,*,2006
Mississippi,*,2006
Montana,*,2006
New Hampshire,*,2006
North Dakota,*,2006
Oklahoma,*,2006
