State,Pending Cases,year
California,135957,2018
Texas,107840,2018
New York,99679,2018
Florida,49748,2018
Virginia,41969,2018
New Jersey,40953,2018
Maryland,33397,2018
Illinois,27553,2018
Massachusetts,26571,2018
Georgia,24120,2018
North Carolina,15487,2018
Pennsylvania,13915,2018
Tennessee,13107,2018
Colorado,11734,2018
Louisiana,11034,2018
Washington,10666,2018
Nebraska,10239,2018
Ohio,9529,2018
Arizona,9132,2018
Missouri,8047,2018
Minnesota,7516,2018
Oregon,5122,2018
Connecticut,5010,2018
Kentucky,4904,2018
Michigan,4723,2018
Nevada,4025,2018
Utah,2553,2018
New Mexico,398,2018
Hawaii,389,2018
Puerto Rico,248,2018
Guam,21,2018
Idaho,*,2018
Wisconsin,*,2018
Indiana,*,2018
Wyoming,*,2018
Iowa,*,2018
Kansas,*,2018
Maine,*,2018
Mississippi,*,2018
Montana,*,2018
New Hampshire,*,2018
North Dakota,*,2018
Oklahoma,*,2018
Rhode Island,*,2018
Alabama,*,2018
South Carolina,*,2018
Alaska,*,2018
South Dakota,*,2018
Arkansas,*,2018
US Virgin Islands,*,2018
Delaware,*,2018
Vermont,*,2018
District of Columbia,*,2018
West Virginia,*,2018
