State,Pending Cases,year
California,31698,1999
New York,20910,1999
Texas,14074,1999
Florida,13420,1999
Michigan,2984,1999
Illinois,2789,1999
New Jersey,2756,1999
Massachusetts,2303,1999
Georgia,2013,1999
Virginia,1921,1999
Arizona,1612,1999
Maryland,1376,1999
Pennsylvania,1315,1999
Minnesota,1065,1999
Colorado,1050,1999
Nevada,757,1999
Washington,742,1999
Tennessee,719,1999
Connecticut,475,1999
Missouri,439,1999
Nebraska,391,1999
Puerto Rico,315,1999
Guam,249,1999
Louisiana,213,1999
Oregon,139,1999
Hawaii,82,1999
Ohio,65,1999
North Dakota,*,1999
Oklahoma,*,1999
Rhode Island,*,1999
Alabama,*,1999
South Carolina,*,1999
Alaska,*,1999
South Dakota,*,1999
Arkansas,*,1999
US Virgin Islands,*,1999
Delaware,*,1999
Vermont,*,1999
District of Columbia,*,1999
West Virginia,*,1999
Idaho,*,1999
Wisconsin,*,1999
Indiana,*,1999
Wyoming,*,1999
Iowa,*,1999
Kansas,*,1999
Maine,*,1999
Mississippi,*,1999
Montana,*,1999
New Hampshire,*,1999
