State,Pending Cases,year
California,33898,2005
Florida,32460,2005
Texas,24586,2005
New York,19387,2005
Massachusetts,9365,2005
Georgia,4373,2005
Illinois,4029,2005
Maryland,3955,2005
Pennsylvania,3770,2005
Ohio,3694,2005
New Jersey,3580,2005
Virginia,3156,2005
Michigan,2558,2005
Arizona,2276,2005
Colorado,2140,2005
Nebraska,1978,2005
Missouri,1770,2005
Connecticut,1697,2005
Washington,1226,2005
Minnesota,1138,2005
Tennessee,1109,2005
Utah,676,2005
Nevada,666,2005
Louisiana,555,2005
Puerto Rico,474,2005
Oregon,442,2005
Hawaii,46,2005
Guam,10,2005
Iowa,*,2005
Kansas,*,2005
Maine,*,2005
Mississippi,*,2005
Montana,*,2005
New Hampshire,*,2005
North Dakota,*,2005
Oklahoma,*,2005
Rhode Island,*,2005
Alabama,*,2005
South Carolina,*,2005
Alaska,*,2005
South Dakota,*,2005
Arkansas,*,2005
US Virgin Islands,*,2005
Delaware,*,2005
Vermont,*,2005
District of Columbia,*,2005
West Virginia,*,2005
Idaho,*,2005
Wisconsin,*,2005
Indiana,*,2005
Wyoming,*,2005
