State,Pending Cases,year
California,111394,2017
Texas,93591,2017
New York,81393,2017
Florida,38520,2017
Virginia,34673,2017
New Jersey,32013,2017
Maryland,25263,2017
Illinois,23738,2017
Massachusetts,20237,2017
Georgia,18078,2017
Tennessee,14797,2017
North Carolina,11135,2017
Colorado,10284,2017
Pennsylvania,9220,2017
Washington,8968,2017
Arizona,8361,2017
Nebraska,8170,2017
Louisiana,8144,2017
Ohio,7389,2017
Missouri,5953,2017
Minnesota,5590,2017
Michigan,3883,2017
Oregon,3800,2017
Connecticut,3672,2017
Nevada,3287,2017
Utah,2427,2017
Hawaii,562,2017
Puerto Rico,183,2017
New Mexico,134,2017
Guam,3,2017
Arkansas,*,2017
US Virgin Islands,*,2017
Delaware,*,2017
Vermont,*,2017
District of Columbia,*,2017
West Virginia,*,2017
Idaho,*,2017
Wisconsin,*,2017
Indiana,*,2017
Wyoming,*,2017
Iowa,*,2017
Kansas,*,2017
Maine,*,2017
Mississippi,*,2017
Montana,*,2017
New Hampshire,*,2017
North Dakota,*,2017
Oklahoma,*,2017
Rhode Island,*,2017
Alabama,*,2017
South Carolina,*,2017
Alaska,*,2017
South Dakota,*,2017
