State,Pending Cases,year
California,65912,2011
New York,43395,2011
Texas,30241,2011
Illinois,14871,2011
Florida,13033,2011
Arizona,10886,2011
New Jersey,9267,2011
Massachusetts,8498,2011
Virginia,7816,2011
Colorado,7488,2011
Georgia,6454,2011
Washington,5285,2011
Tennessee,5062,2011
Maryland,4992,2011
Pennsylvania,4640,2011
Nebraska,4638,2011
North Carolina,3773,2011
Missouri,3557,2011
Ohio,3552,2011
Oregon,2840,2011
Louisiana,2666,2011
Michigan,2662,2011
Minnesota,2633,2011
Nevada,2567,2011
Connecticut,1255,2011
Utah,1045,2011
Puerto Rico,677,2011
Hawaii,287,2011
Guam,97,2011
Iowa,*,2011
Kansas,*,2011
Maine,*,2011
Mississippi,*,2011
Montana,*,2011
New Hampshire,*,2011
North Dakota,*,2011
Oklahoma,*,2011
Rhode Island,*,2011
Alabama,*,2011
South Carolina,*,2011
Alaska,*,2011
South Dakota,*,2011
Arkansas,*,2011
US Virgin Islands,*,2011
Delaware,*,2011
Vermont,*,2011
District of Columbia,*,2011
West Virginia,*,2011
Idaho,*,2011
Wisconsin,*,2011
Indiana,*,2011
Wyoming,*,2011
