State,Pending Cases,year
California,75856,2014
Texas,67855,2014
New York,55605,2014
Florida,18877,2014
New Jersey,17865,2014
Illinois,17125,2014
Virginia,16186,2014
Arizona,12884,2014
Georgia,12593,2014
Massachusetts,9988,2014
Colorado,7612,2014
Louisiana,7359,2014
Maryland,7302,2014
Tennessee,7287,2014
Ohio,5149,2014
Pennsylvania,5097,2014
Washington,5004,2014
Nebraska,4980,2014
North Carolina,4476,2014
Nevada,3566,2014
Michigan,3517,2014
Missouri,3516,2014
Minnesota,2850,2014
Oregon,2321,2014
Connecticut,1917,2014
Utah,1524,2014
Puerto Rico,196,2014
Hawaii,120,2014
Guam,9,2014
Oklahoma,*,2014
Rhode Island,*,2014
Alabama,*,2014
South Carolina,*,2014
Alaska,*,2014
South Dakota,*,2014
Arkansas,*,2014
US Virgin Islands,*,2014
Delaware,*,2014
Vermont,*,2014
District of Columbia,*,2014
West Virginia,*,2014
Idaho,*,2014
Wisconsin,*,2014
Indiana,*,2014
Wyoming,*,2014
Iowa,*,2014
Kansas,*,2014
Maine,*,2014
Mississippi,*,2014
Montana,*,2014
New Hampshire,*,2014
North Dakota,*,2014
