State,Pending Cases,year
California,48140,2008
New York,26699,2008
Florida,16949,2008
Texas,9783,2008
Massachusetts,6684,2008
Virginia,6436,2008
Georgia,5146,2008
Illinois,4610,2008
Maryland,4422,2008
New Jersey,4101,2008
Colorado,3869,2008
Arizona,3861,2008
Ohio,3086,2008
Pennsylvania,3030,2008
Washington,2889,2008
Nebraska,2778,2008
Missouri,2262,2008
Michigan,2159,2008
Tennessee,1974,2008
Minnesota,1590,2008
North Carolina,1082,2008
Oregon,1011,2008
Nevada,922,2008
Connecticut,880,2008
Utah,845,2008
Puerto Rico,818,2008
Louisiana,575,2008
Hawaii,451,2008
Guam,75,2008
Montana,*,2008
New Hampshire,*,2008
North Dakota,*,2008
Oklahoma,*,2008
Rhode Island,*,2008
Alabama,*,2008
South Carolina,*,2008
Alaska,*,2008
South Dakota,*,2008
Arkansas,*,2008
US Virgin Islands,*,2008
Delaware,*,2008
Vermont,*,2008
District of Columbia,*,2008
West Virginia,*,2008
Idaho,*,2008
Wisconsin,*,2008
Indiana,*,2008
Wyoming,*,2008
Iowa,*,2008
Kansas,*,2008
Maine,*,2008
Mississippi,*,2008
