State,Pending Cases,year
California,170027,2019
Texas,161497,2019
New York,120310,2019
Florida,79767,2019
New Jersey,51422,2019
Virginia,45426,2019
Illinois,42257,2019
Maryland,37183,2019
Georgia,34097,2019
Massachusetts,33238,2019
Tennessee,21883,2019
North Carolina,21225,2019
Pennsylvania,20378,2019
Louisiana,19177,2019
Colorado,14509,2019
Arizona,14257,2019
Nebraska,13993,2019
Washington,13281,2019
Minnesota,13118,2019
Ohio,12796,2019
Missouri,11904,2019
Connecticut,7051,2019
Nevada,6860,2019
Oregon,6662,2019
Kentucky,6487,2019
Michigan,5893,2019
Utah,3770,2019
New Mexico,845,2019
Puerto Rico,777,2019
Hawaii,198,2019
Guam,26,2019
New Hampshire,*,2019
North Dakota,*,2019
Oklahoma,*,2019
Rhode Island,*,2019
Alabama,*,2019
South Carolina,*,2019
Alaska,*,2019
South Dakota,*,2019
Arkansas,*,2019
US Virgin Islands,*,2019
Delaware,*,2019
Vermont,*,2019
District of Columbia,*,2019
West Virginia,*,2019
Idaho,*,2019
Wisconsin,*,2019
Indiana,*,2019
Wyoming,*,2019
Iowa,*,2019
Kansas,*,2019
Maine,*,2019
Mississippi,*,2019
Montana,*,2019
