State,Pending Cases,year
California,81526,2015
Texas,73997,2015
New York,61757,2015
New Jersey,22726,2015
Florida,22488,2015
Virginia,21688,2015
Illinois,18345,2015
Georgia,12272,2015
Massachusetts,11947,2015
Maryland,11759,2015
Arizona,11319,2015
Tennessee,9196,2015
Colorado,8446,2015
Louisiana,7324,2015
Washington,7034,2015
Ohio,5672,2015
Pennsylvania,5524,2015
North Carolina,5112,2015
Nebraska,5030,2015
Missouri,4109,2015
Nevada,3687,2015
Michigan,3570,2015
Minnesota,3194,2015
Oregon,2856,2015
Connecticut,1876,2015
Utah,1398,2015
Hawaii,237,2015
Puerto Rico,144,2015
Guam,3,2015
Montana,*,2015
New Hampshire,*,2015
North Dakota,*,2015
Oklahoma,*,2015
Rhode Island,*,2015
Alabama,*,2015
South Carolina,*,2015
Alaska,*,2015
South Dakota,*,2015
Arkansas,*,2015
US Virgin Islands,*,2015
Delaware,*,2015
Vermont,*,2015
District of Columbia,*,2015
West Virginia,*,2015
Idaho,*,2015
Wisconsin,*,2015
Indiana,*,2015
Wyoming,*,2015
Iowa,*,2015
Kansas,*,2015
Maine,*,2015
Mississippi,*,2015
