State,Pending Cases,year
California,88014,2016
Texas,86715,2016
New York,65975,2016
Florida,28374,2016
Virginia,28221,2016
New Jersey,25982,2016
Illinois,21674,2016
Maryland,16603,2016
Massachusetts,14338,2016
Georgia,13095,2016
Tennessee,10674,2016
Colorado,9911,2016
Arizona,9424,2016
Washington,7747,2016
Louisiana,7283,2016
Pennsylvania,6539,2016
North Carolina,6313,2016
Nebraska,6161,2016
Ohio,5919,2016
Missouri,4791,2016
Minnesota,3983,2016
Oregon,3474,2016
Michigan,3438,2016
Nevada,3234,2016
Connecticut,2279,2016
Utah,1893,2016
Hawaii,456,2016
Puerto Rico,61,2016
Guam,2,2016
Montana,*,2016
New Hampshire,*,2016
North Dakota,*,2016
Oklahoma,*,2016
Rhode Island,*,2016
Alabama,*,2016
South Carolina,*,2016
Alaska,*,2016
South Dakota,*,2016
Arkansas,*,2016
US Virgin Islands,*,2016
Delaware,*,2016
Vermont,*,2016
District of Columbia,*,2016
West Virginia,*,2016
Idaho,*,2016
Wisconsin,*,2016
Indiana,*,2016
Wyoming,*,2016
Iowa,*,2016
Kansas,*,2016
Maine,*,2016
Mississippi,*,2016
