State,Pending Cases,year
California,57658,2010
New York,39478,2010
Texas,23528,2010
Florida,13239,2010
Illinois,11671,2010
Massachusetts,7951,2010
Arizona,7927,2010
New Jersey,7537,2010
Virginia,7331,2010
Colorado,6654,2010
Georgia,6393,2010
Maryland,5486,2010
Pennsylvania,4441,2010
Washington,4416,2010
Tennessee,4165,2010
Nebraska,3651,2010
North Carolina,3540,2010
Missouri,3523,2010
Ohio,3413,2010
Michigan,2301,2010
Minnesota,2286,2010
Oregon,2259,2010
Louisiana,1845,2010
Nevada,1836,2010
Connecticut,1269,2010
Utah,1080,2010
Puerto Rico,920,2010
Hawaii,490,2010
Guam,82,2010
Iowa,*,2010
Kansas,*,2010
Maine,*,2010
Mississippi,*,2010
Montana,*,2010
New Hampshire,*,2010
North Dakota,*,2010
Oklahoma,*,2010
Rhode Island,*,2010
Alabama,*,2010
South Carolina,*,2010
Alaska,*,2010
South Dakota,*,2010
Arkansas,*,2010
US Virgin Islands,*,2010
Delaware,*,2010
Vermont,*,2010
District of Columbia,*,2010
West Virginia,*,2010
Idaho,*,2010
Wisconsin,*,2010
Indiana,*,2010
Wyoming,*,2010
