State,Pending Cases,year
California,70664,2013
New York,47544,2013
Texas,45034,2013
Illinois,17008,2013
Florida,15288,2013
Arizona,14406,2013
New Jersey,12915,2013
Virginia,12082,2013
Georgia,9903,2013
Massachusetts,8178,2013
Colorado,7082,2013
Tennessee,6075,2013
Louisiana,5208,2013
Nebraska,5018,2013
Washington,4913,2013
Maryland,4908,2013
Ohio,4561,2013
Pennsylvania,4508,2013
North Carolina,3717,2013
Nevada,3313,2013
Missouri,3139,2013
Michigan,2874,2013
Minnesota,2694,2013
Oregon,2481,2013
Connecticut,1397,2013
Utah,1220,2013
Puerto Rico,166,2013
Hawaii,72,2013
Guam,27,2013
Indiana,*,2013
Wyoming,*,2013
Iowa,*,2013
Kansas,*,2013
Maine,*,2013
Mississippi,*,2013
Montana,*,2013
New Hampshire,*,2013
North Dakota,*,2013
Oklahoma,*,2013
Rhode Island,*,2013
Alabama,*,2013
South Carolina,*,2013
Alaska,*,2013
South Dakota,*,2013
Arkansas,*,2013
US Virgin Islands,*,2013
Delaware,*,2013
Vermont,*,2013
District of Columbia,*,2013
West Virginia,*,2013
Idaho,*,2013
Wisconsin,*,2013
